Filing Date,Company,CUSIP,Value (x1000 USD),Shares
09-30-2020,10X GENOMICS INC,88025U109,13379,107309
09-30-2020,10X GENOMICS INC,88025U109,140,1119
09-30-2020,10X GENOMICS INC,88025U109,3580,28712
09-30-2020,10X GENOMICS INC,88025U109,105348,844947
09-30-2020,10X GENOMICS INC,88025U109,99945,801612
09-30-2020,10X GENOMICS INC,88025U109,183281,1470009
09-30-2020,10X GENOMICS INC,88025U109,4168,33429
09-30-2020,10X GENOMICS INC,88025U109,171,1373
09-30-2020,111 INC,68247Q102,82,13188
09-30-2020,111 INC,68247Q102,851,137285
09-30-2020,111 INC,68247Q102,348,56071
09-30-2020,1347 PPTY INS HLDGS INC,68244P107,25,6428
09-30-2020,1895 BANCORP OF WIS INC,28252W105,5,538
09-30-2020,1895 BANCORP OF WIS INC,28252W105,15,1607
09-30-2020,1LIFE HEALTHCARE INC,68269G107,2229,78605
09-30-2020,1LIFE HEALTHCARE INC,68269G107,71,2499
09-30-2020,1LIFE HEALTHCARE INC,68269G107,43,1506
09-30-2020,1LIFE HEALTHCARE INC,68269G107,478,16854
09-30-2020,1LIFE HEALTHCARE INC,68269G107,10099,356107
09-30-2020,1LIFE HEALTHCARE INC,68269G107,11004,388002
09-30-2020,1LIFE HEALTHCARE INC,68269G107,74668,2632857
09-30-2020,1LIFE HEALTHCARE INC,68269G107,65604,2313254
09-30-2020,1LIFE HEALTHCARE INC,68269G107,542,19109
09-30-2020,1LIFE HEALTHCARE INC,68269G107,22,763
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1485,52347
09-30-2020,1LIFE HEALTHCARE INC,68269G107,6,203
09-30-2020,1LIFE HEALTHCARE INC,68269G107,786,27707
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1494,52670
09-30-2020,1LIFE HEALTHCARE INC,68269G107,75,2627
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1210,42649
09-30-2020,1LIFE HEALTHCARE INC,68269G107,425,14975
09-30-2020,1LIFE HEALTHCARE INC,68269G107,74,2614
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,96,8077
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,467,39253
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,207,17411
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,3507,294693
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,1062,89257
09-30-2020,1ST SOURCE CORP,336901103,626,20289
09-30-2020,1ST SOURCE CORP,336901103,9,281
09-30-2020,1ST SOURCE CORP,336901103,1555,50414
09-30-2020,1ST SOURCE CORP,336901103,930,30150
09-30-2020,1ST SOURCE CORP,336901103,15214,493310
