<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>ren_13f_q3_2012.txt
<DESCRIPTION>13F Q3 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  September 30, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies, L.L.C.
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    November 13, 2012
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2802
Form 13F Information Table Value (x $1000) Total:  $32566460

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
____________________________ ________________ _________ ________ ________ ___ ____ _______ ___________ ________ ________ ________
1 800 FLOWERS COM            CL A             68243Q106     3470   930165 SH       SOLE                  861504        0    68661
3SBIO INC                    SPONSORED ADR    88575Y105     5251   404200 SH       SOLE                  386700        0    17500
51JOB INC                    SP ADR REP COM   316827104     4260    95096 SH       SOLE                   62871        0    32225
7 DAYS GROUP HLDGS LTD       ADR              81783J101     3103   267000 SH       SOLE                  203700        0    63300
8X8 INC NEW                  COM              282914100     2183   332850 SH       SOLE                  126500        0   206350
A H BELO CORP                COM CL A         001282102      969   200665 SH       SOLE                  110804        0    89861
A123 SYS INC                 COM              03739T108       93   372400 SH       SOLE                  372400        0        0
AAR CORP                     COM              000361105     5514   335800 SH       SOLE                  114726        0   221074
ABAXIS INC                   COM              002567105     2765    76971 SH       SOLE                   25437        0    51534
ABB LTD                      SPONSORED ADR    000375204      782    41800 SH       SOLE                       0        0    41800
ABBOTT LABS                  COM              002824100    22015   321100 SH       SOLE                  321100        0        0
ABIOMED INC                  COM              003654100     4643   221223 SH       SOLE                   32558        0   188665
ACADIA PHARMACEUTICALS INC   COM              004225108      991   391563 SH       SOLE                      98        0   391465
ACADIA RLTY TR               COM SH BEN INT   004239109      489    19701 SH       SOLE                   15010        0     4691
ACCELRYS INC                 COM              00430U103     9593  1107783 SH       SOLE                 1065217        0    42566
ACCENTURE PLC IRELAND        SHS CLASS A      G1151C101   148331  2118100 SH       SOLE                 1331000        0   787100
ACCESS MIDSTREAM PARTNERS L  UNIT             00434L109      901    27200 SH       SOLE                       0        0    27200
ACCESS NATL CORP             COM              004337101      784    57400 SH       SOLE                   57400        0        0
