<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>13f_q4_2012_ren.txt
<DESCRIPTION>13F - Q4 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  December 31, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies LLC
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    February 14, 2013
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2815
Form 13F Information Table Value (x $1000) Total:  $34361721

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
____________________________ ________________ _________ ________ ________ ___ ____ _______ ___________ ________ ________ ________
1 800 FLOWERS COM            CL A             68243Q106     3247   884747 SH       SOLE                  884747        0        0
1ST SOURCE CORP              COM              336901103      219     9907 SH       SOLE                     865        0     9042
3SBIO INC                    SPONSORED ADR    88575Y105     5837   427900 SH       SOLE                  415710        0    12190
51JOB INC                    SP ADR REP COM   316827104     4142    88600 SH       SOLE                   60674        0    27926
7 DAYS GROUP HLDGS LTD       ADR              81783J101     3220   267000 SH       SOLE                  194200        0    72800
8X8 INC NEW                  COM              282914100     2453   332423 SH       SOLE                  107000        0   225423
A H BELO CORP                COM CL A         001282102      699   150252 SH       SOLE                  115838        0    34414
AAON INC                     COM PAR $0.004   000360206      228    10928 SH       SOLE                     600        0    10328
AAR CORP                     COM              000361105     5602   299900 SH       SOLE                  118180        0   181720
AARONS INC                   COM PAR $0.50    002535300    12557   444024 SH       SOLE                  176803        0   267221
ABAXIS INC                   COM              002567105     3969   106971 SH       SOLE                   64861        0    42110
ABBOTT LABS                  COM              002824100    33739   515100 SH       SOLE                  118494        0   396606
ABIOMED INC                  COM              003654100     3149   234323 SH       SOLE                     683        0   233640
ABM INDS INC                 COM              000957100     3577   179300 SH       SOLE                   66583        0   112717
ACACIA RESH CORP             ACACIA TCH COM   003881307     6720   261900 SH       SOLE                   70100        0   191800
ACADIA RLTY TR               COM SH BEN INT   004239109      251    10001 SH       SOLE                      73        0     9928
ACCELRYS INC                 COM              00430U103     9766  1079154 SH       SOLE                 1079154        0        0
ACCENTURE PLC IRELAND        SHS CLASS A      G1151C101   122180  1837300 SH       SOLE                 1372848        0   464452
ACCESS MIDSTREAM PARTNERS L  UNIT             00434L109     8284   247000 SH       SOLE                       0        0   247000
ACCESS NATL CORP             COM              004337101      801    61600 SH       SOLE                   61600        0        0
ACCURAY INC                  COM              004397105      322    50123 SH       SOLE                       0        0    50123
ACME PACKET INC              COM              004764106     9012   407400 SH       SOLE                    1396        0   406004
ACME UTD CORP                COM              004816104      604    54700 SH       SOLE                   54700        0        0
ACORDA THERAPEUTICS INC      COM              00484M106     7192   289300 SH       SOLE                  289300        0        0
ACORN INTL INC               SPON ADR         004854105      424   167602 SH       SOLE                  167602        0        0
ACTIONS SEMICONDUCTOR CO LTD ADR              00507E107     2651  1616500 SH       SOLE                 1616500        0        0
ACTIVE NETWORK INC           COM              00506D100     1627   331400 SH       SOLE                   72763        0   258637
ACTIVISION BLIZZARD INC      COM              00507V109    25066  2360298 SH       SOLE                  670404        0  1689894
ACTUANT CORP                 CL A NEW         00508X203     9930   355800 SH       SOLE                  144098        0   211702
ACTUATE CORP                 COM              00508B102     9647  1722700 SH       SOLE                 1722700        0        0
ACUITY BRANDS INC            COM              00508Y102    16838   248600 SH       SOLE                  123075        0   125525
ACXIOM CORP                  COM              005125109     5022   287645 SH       SOLE                  213544        0    74101
ADAMS RES & ENERGY INC       COM NEW          006351308     7259   207000 SH       SOLE                  203500        0     3500
ADDVANTAGE TECHNOLOGIES GP I COM NEW          006743306      212   106500 SH       SOLE                  106500        0        0
ADEPT TECHNOLOGY INC         COM NEW          006854202       46    17500 SH       SOLE                   17500        0        0
ADMINISTRADORA FONDOS PENSIO SPONSORED ADR    00709P108    28257   271700 SH       SOLE                  263000        0     8700
ADVANCE AUTO PARTS INC       COM              00751Y106    34290   473950 SH       SOLE                  126879        0   347071
ADVANCED ENERGY INDS         COM              007973100     1827   132300 SH       SOLE                  132300        0        0
ADVANCED PHOTONIX INC        CL A             00754E107       93   197400 SH       SOLE                  197400        0        0
ADVANCED SEMICONDUCTOR ENGR  SPONSORED ADR    00756M404      305    71279 SH       SOLE                    4378        0    66901
ADVANTEST CORP               SPON ADR NEW     00762U200     1670   103600 SH       SOLE                  103600        0        0
ADVENT SOFTWARE INC          COM              007974108     1159    54200 SH       SOLE                   54200        0        0
ADVOCAT INC                  COM              007586100      344    64500 SH       SOLE                   64500        0        0
AEGEAN MARINE PETROLEUM NETW SHS              Y0017S102      380    71910 SH       SOLE                    4200        0    67710
AEGON N V                    NY REGISTRY SH   007924103      122    18894 SH       SOLE                       0        0    18894
AEHR TEST SYSTEMS            COM              00760J108       40    47600 SH       SOLE                   47600        0        0
AEP INDS INC                 COM              001031103     6113   103200 SH       SOLE                   86800        0    16400
AEROCENTURY CORP             COM              007737109      159    11300 SH       SOLE                   11300        0        0
AEROFLEX HLDG CORP           COM              007767106      327    46735 SH       SOLE                     547        0    46188
AEROPOSTALE                  COM              007865108     6624   509112 SH       SOLE                    2496        0   506616
AEROVIRONMENT INC            COM              008073108     6058   278636 SH       SOLE                   53091        0   225545
AES CORP                     COM              00130H105     4586   428600 SH       SOLE                      97        0   428503
AETERNA ZENTARIS INC         COM NEW          007975303      984   413614 SH       SOLE                   85849        0   327765
AETRIUM INC                  COM              00817R103       96   191300 SH       SOLE                  191300        0        0
AFC ENTERPRISES INC          COM              00104Q107    14037   537200 SH       SOLE                  537200        0        0
AFFILIATED MANAGERS GROUP    COM              008252108     1497    11500 SH       SOLE                    1443        0    10057
AG MTG INVT TR INC           COM              001228105     3325   141600 SH       SOLE                   11822        0   129778
AGCO CORP                    COM              001084102     5231   106500 SH       SOLE                    1838        0   104662
AGILENT TECHNOLOGIES INC     COM              00846U101    48084  1174500 SH       SOLE                  295223        0   879277
AGILYSYS INC                 COM              00847J105     1287   153800 SH       SOLE                  153800        0        0
AGL RES INC                  COM              001204106     1170    29261 SH       SOLE                    1100        0    28161
AGNICO EAGLE MINES LTD       COM              008474108    43653   832127 SH       SOLE                  493500        0   338627
AGREE REALTY CORP            COM              008492100      758    28300 SH       SOLE                   28300        0        0
AGRIA CORP                   SPONSORED ADR    00850H103       13    18600 SH       SOLE                   18600        0        0
